Type,Context Type,Question
Simulation Role Play as a Character,Full Context,You are a client who needs a comprehensive breakdown of ad spend, reach, engagement, and conversion metrics for your last campaign. Request the report and a follow-up call to discuss.
Simulation Role Play as a Character,Full Context,You are a customer who is moving overseas and wants to know if the brand ships internationally, what the costs are, and how long delivery takes.
Simulation Role Play as a Character,Full Context,You are a blogger who wants to become an official affiliate for a new tech product. Request program details, commission structure, and marketing materials.
Simulation Role Play as a Character,Full Context,You are a retailer who wants to renegotiate your co-op advertising agreement with a supplier. Request a meeting and propose new terms based on recent sales data.
Simulation Role Play as a Character,Full Context,You are a customer who received a product that didn’t match the online description. Ask for a replacement or refund, and suggest how the company can improve product listings.
Simulation Role Play as a Character,Full Context,You are a partner who wants to propose a cross-promotional campaign for an upcoming festival. Outline your idea and ask for the brand’s input and resources.
Simulation Role Play as a Character,Full Context,You are a journalist writing about the rise of experiential marketing. Request interviews with the brand’s marketing team and ask for recent examples and results.
Simulation Role Play as a Character,Full Context,You are a client who wants to know how your marketing agency plans to adapt your campaign for different international markets. Ask for specific localization strategies.
Simulation Role Play as a Character,Full Context,You are a customer who is visually impaired and wants to know if the company’s website and ads are accessible. Ask about their efforts and request improvements.
Simulation Role Play as a Character,Full Context,You are a partner who wants to create a joint loyalty program with another brand. Propose the concept, highlight benefits, and request a planning session.
Simulation Role Play as a Character,Full Context,You are a competitor who wants to benchmark your influencer marketing results against the industry leader. Request anonymized performance data for comparison.
Reasoning,Without Context,Which marketing channel has the best ROI?
Reasoning,Without Context,Why do influencer campaigns work better for some brands?
Reasoning,Without Context,Which is more effective: email or SMS marketing?
Reasoning,Without Context,Should we focus on brand awareness or lead generation?
Reasoning,Without Context,Why might a B2B campaign underperform compared to B2C?
Reasoning,Without Context,Is it better to run ads on Facebook or LinkedIn?
Reasoning,Without Context,Why do some hashtags trend and others don’t?
Reasoning,Without Context,What makes a call-to-action button successful?
Reasoning,Without Context,Should we prioritize SEO or paid ads for a new website?
Reasoning,Without Context,Why do loyalty programs increase customer retention?
Reasoning,Without Context,Which is more cost-effective: influencer marketing or paid search?
Reasoning,Without Context,Why do email open rates drop over time?
Reasoning,Without Context,What’s the main reason for high bounce rates on landing pages?
Reasoning,Without Context,Should we use short or long-form video content?
Reasoning,Without Context,Why do some referral programs fail?
Reasoning,Without Context,What’s the benefit of a multi-channel campaign?
Reasoning,Without Context,Why do B2B buyers prefer case studies over testimonials?
Reasoning,Without Context,Which is better for engagement: live events or webinars?
Reasoning,Without Context,Why do retargeting ads perform differently on Facebook vs. Google?
Reasoning,Without Context,What makes a marketing message persuasive?
Reasoning,Without Context,Why is personalization important in email marketing?
Reasoning,Without Context,Should we focus on organic or paid social growth?
Reasoning,Without Context,Why do some brands succeed with humor in ads?
Reasoning,Without Context,What’s the risk of over-segmenting an audience?
Reasoning,Without Context,Why do loyalty apps succeed in retail?
Reasoning,Without Context,Why is content repurposing valuable?
Reasoning,Without Context,Should we invest in podcast advertising?
Reasoning,Without Context,Why do some brands avoid TikTok marketing?
Reasoning,Without Context,What’s the logic behind A/B testing?
Reasoning,Without Context,Why do customers abandon online carts?
Reasoning,Light Context,We’re launching a new product in the fitness industry. Which social media platform should we prioritize and why?
Reasoning,Light Context,Our email open rates are dropping. What could be the cause?
Reasoning,Light Context,We have limited budget for Q4. Should we invest in influencer partnerships or Google Ads?
Reasoning,Light Context,Our B2B webinars get more signups than our B2C ones. Why might that be?
Reasoning,Light Context,We’re seeing higher engagement on Instagram Stories than posts. What’s driving this?
Reasoning,Light Context,Our competitor just started a podcast. Should we consider one too?
Reasoning,Light Context,We’re planning a referral program. What are the key success factors?
Reasoning,Light Context,Our click-through rates on display ads are low. What could we improve?
Reasoning,Light Context,We want to switch from weekly to daily newsletters. What are the pros and cons?
Reasoning,Light Context,Our paid social campaigns perform better on weekends. Why is this happening?
Reasoning,Light Context,We’re a SaaS brand with low trial-to-paid conversion. What’s the likely cause?
Reasoning,Light Context,Our retail store’s loyalty program isn’t increasing repeat visits. Why not?
Reasoning,Light Context,We’re considering a pop-up shop. Is this a good strategy for our DTC brand?
Reasoning,Light Context,Our video ads get views but few clicks. What’s missing?
Reasoning,Light Context,We want to segment our email list by purchase history. Is this effective?
Reasoning,Light Context,Our influencer campaign had high reach but low engagement. Why?
Reasoning,Light Context,We’re debating between a brand refresh and a full rebrand. Which is smarter?
Reasoning,Light Context,Our B2B blog gets traffic but few leads. What’s wrong?
Reasoning,Light Context,We want to test a new landing page. What’s the best way to measure success?
Reasoning,Light Context,Our Facebook group is more active than our LinkedIn group. Why?
Reasoning,Light Context,Our app’s push notifications are ignored. What’s the issue?
Reasoning,Light Context,We’re thinking of running a meme-based campaign. What are the risks?
Reasoning,Light Context,Our SMS campaigns have high opt-outs. Why?
Reasoning,Light Context,We’re considering a loyalty app vs. punch card. Which is better?
Reasoning,Light Context,Our holiday campaign did worse than last year. Why?
Reasoning,Light Context,We want to try AR filters on Instagram. What’s the potential impact?
Reasoning,Light Context,Our B2B webinars get low attendance. What should we change?
Reasoning,Light Context,We’re using the same ad creative across channels. Is this a problem?
Reasoning,Light Context,Our newsletter’s click rate is dropping. Why?
Reasoning,Full Context,We’re a SaaS startup targeting small businesses. Our paid search campaigns have high impressions but low conversions. We’ve tested different ad copy and landing pages, but results are flat. Analyze possible reasons for this and suggest next steps to improve conversion rates.
Reasoning,Full Context,Our retail chain is considering a loyalty app versus a traditional punch card system. We have a diverse customer base, limited IT resources, and want to increase repeat visits. Compare the two approaches and recommend the best fit, with justification.
Reasoning,Full Context,We’re a B2B company preparing to launch in a new market. Current competitors have strong relationships and established brands. What strategic marketing moves should we make to gain a foothold, and why?
Reasoning,Full Context,Our e-commerce brand’s influencer campaigns drive a lot of traffic but few sales. We’ve tried different influencers, products, and offers. Analyze what might be going wrong and how to fix it.
Reasoning,Full Context,We manage a chain of quick-serve restaurants. Our in-app offers are popular, but in-store foot traffic is declining. Evaluate the data and recommend a strategy to balance both channels.
Reasoning,Full Context,We’re a B2C subscription service with high trial signups but low paid conversions. Our onboarding emails have a 25% open rate. Identify possible issues and recommend improvements.
Reasoning,Full Context,Our B2B clients complain that our webinars are too basic. We want to increase value and engagement. What content or format changes would you suggest, and why?
Reasoning,Full Context,We’re a non-profit with limited budget. Should we focus on organic social or local PR? Consider our goals of volunteer recruitment and donor engagement.
Reasoning,Full Context,Our fashion brand’s TikTok ads get lots of views but few clicks. We’ve tried different creatives and audiences. What’s likely causing this, and how can we improve?
Reasoning,Full Context,We want to compare the effectiveness of influencer marketing versus paid search for a product launch in the pet care industry. Given our $10k budget and 3-month timeline, which should we choose and why?
Reasoning,Full Context,We’re a SaaS company with a B2B focus. Our monthly webinars have declining registrations despite strong content. What factors could be influencing this, and how should we respond?
Reasoning,Full Context,Our DTC skincare brand is seeing high web traffic from Pinterest but low conversion rates. Analyze possible reasons and recommend a strategy.
Reasoning,Full Context,We’re a regional grocery chain with declining email open rates. We’ve tried new subject lines and segmentation. What else should we test?
Reasoning,Full Context,Our B2B marketing agency’s LinkedIn posts get low engagement compared to competitors. What’s the likely cause, and how do we fix it?
Reasoning,Full Context,We’re a new online marketplace with limited brand recognition. Should we focus on paid ads, organic SEO, or partnerships for initial growth? Provide reasoning.
Reasoning,Full Context,Our e-commerce site’s abandoned cart rate jumped after a recent redesign. Identify possible design issues and suggest fixes.
Reasoning,Full Context,We’re a B2B SaaS company. Should we invest in a branded podcast or a webinar series to build authority? Compare the two options.
Reasoning,Full Context,Our retail brand’s loyalty program has low adoption among Gen Z shoppers. Analyze why and suggest improvements.
Reasoning,Full Context,We’re a non-profit with a small marketing team. Should we prioritize local events or social media campaigns for fundraising?
Reasoning,Full Context,Our restaurant’s delivery sales are up, but dine-in is down. What’s driving this shift, and how should we respond?
Reasoning,Full Context,We’re a B2B software firm. Our trade show leads rarely convert. What’s the likely reason, and what’s a better approach?
Reasoning,Full Context,Our DTC apparel brand’s influencer posts get high engagement but low referral traffic. What’s happening, and what should we try next?
Reasoning,Full Context,We’re a SaaS company with a blog that ranks well but generates few leads. What’s missing in our content strategy?
Reasoning,Full Context,Our fitness app’s push notifications have low opt-in rates. What’s the likely cause, and how can we improve?
Reasoning,Full Context,We’re a B2B firm choosing between industry awards and thought leadership articles for PR. Which is likely to have more impact, and why?
Reasoning,Full Context,Our travel agency’s Facebook ads perform well in summer but poorly in winter. Why, and how can we balance performance year-round?
Reasoning,Full Context,We’re launching a new product. Should we use a pre-order strategy or a surprise drop? Compare the pros and cons.
Reasoning,Full Context,Our SaaS company’s free trial users rarely convert to paid. What’s likely missing from our onboarding?
Trending,Without Context,What’s trending on Instagram right now?
Trending,Without Context,Which TikTok challenges are currently popular?
Trending,Without Context,What seasonal campaigns are brands running this month?
Trending,Without Context,What memes are brands using in their marketing?
Trending,Without Context,Which hashtags are viral in the food industry?
Trending,Without Context,What’s the latest trend in email subject lines?
Trending,Without Context,What’s hot in B2B marketing right now?
Trending,Without Context,Which influencer types are trending for Gen Z?
Trending,Without Context,What’s the top trend in e-commerce ads?
Trending,Without Context,What’s new in video marketing this year?
Trending,Without Context,Which Instagram Reel formats are getting the most engagement?
Trending,Without Context,What’s the latest Facebook ad format trend?
Trending,Without Context,What’s trending in print advertising for retail?
Trending,Without Context,Which LinkedIn post topics are going viral?
Trending,Without Context,What’s the latest meme format brands are using?
Trending,Without Context,What’s the current trend in podcast marketing?
Trending,Without Context,Which emojis are brands using most in captions?
Trending,Without Context,What’s trending in SMS marketing?
Trending,Without Context,What’s the latest trend for email newsletters?
Trending,Without Context,Which TikTok filters are popular for product demos?
Trending,Without Context,What’s a trending visual style for brand logos?
Trending,Without Context,What’s hot in influencer gifting campaigns?
Trending,Without Context,What’s the latest trend in out-of-home advertising?
Trending,Without Context,What’s the new trend in virtual events?
Trending,Without Context,Which hashtags are trending for eco-friendly products?
Trending,Without Context,What’s the latest trend in unboxing videos?
Trending,Without Context,What’s trending in loyalty program promotions?
Trending,Without Context,What’s the new trend in B2B webinars?
Trending,Without Context,Which social media platform just launched a new feature?
Trending,Light Context,Our beauty brand wants to tap into current TikTok audio trends. What should we use?
Trending,Light Context,We’re planning a summer campaign. What seasonal content is popular right now?
Trending,Light Context,Our restaurant wants to join a viral meme trend. Which one fits the food industry?
Trending,Light Context,We sell eco-friendly products. What sustainability hashtags are trending?
Trending,Light Context,Our startup wants to ride the latest LinkedIn buzz. What topics should we cover?
Trending,Light Context,Our email open rates are low. What subject line trends could help?
Trending,Light Context,We’re launching a new sneaker. What’s trending in footwear marketing?
Trending,Light Context,Our travel agency wants to use trending Reels. What’s working for travel brands?
Trending,Light Context,We’re a SaaS company. What’s the current B2B content trend?
Trending,Light Context,We’re launching a wellness app. What health trends are viral on social media?
Trending,Light Context,Our B2B consulting firm wants to use trending LinkedIn formats. What’s hot right now?
Trending,Light Context,We’re running a back-to-school campaign. What’s trending with Gen Z?
Trending,Light Context,Our DTC brand wants to use viral TikTok sounds. Which ones are best?
Trending,Light Context,We’re a pet food brand. What’s trending in pet influencer marketing?
Trending,Light Context,Our law firm wants to use trending memes tastefully. What’s possible?
Trending,Light Context,We’re a SaaS tool. What’s the latest trend in explainer videos?
Trending,Light Context,Our nonprofit wants to use trending donation hashtags. What’s working?
Trending,Light Context,We’re a local retailer. What’s trending in geo-targeted ads?
Trending,Light Context,We want to try a viral dance challenge. Which one is best for our brand?
Trending,Light Context,Our coffee shop wants to use trending Instagram story stickers. Which are most popular?
Trending,Light Context,We’re a B2B agency. What’s trending in virtual networking events?
Trending,Light Context,Our fashion brand wants to use trending color palettes. What’s in style?
Trending,Light Context,We’re launching a podcast. What intro formats are trending?
Trending,Light Context,Our SaaS company wants to use trending Twitter threads. What’s working?
Trending,Light Context,We’re a restaurant with a new dessert. What’s trending in food photography?
Trending,Light Context,Our e-commerce brand wants to do a viral giveaway. What’s trending in mechanics?
Trending,Light Context,We’re launching a subscription box. What unboxing trends are hot?
Trending,Light Context,We’re a B2B startup. What’s the latest trend in LinkedIn ads?
Trending,Light Context,Our wellness brand wants to use trending health memes. What’s popular?
Trending,Full Context,We’re a pet food brand launching a new organic line next month. We want to leverage current TikTok pet trends and viral challenges to maximize reach. Identify the most relevant trends and suggest how we can authentically participate.
Trending,Full Context,Our B2B consulting firm is rebranding. We want to align our LinkedIn content with the latest industry discussions and thought leadership trends. Analyze what’s currently resonating and propose a content approach.
Trending,Full Context,We’re a fashion retailer preparing for a back-to-school campaign. We want to incorporate trending memes and Gen Z humor into our Instagram Stories and ads. Which trends should we use, and how do we keep it authentic?
Trending,Full Context,We’re a restaurant chain launching a limited-edition menu for Halloween. We want to use viral hashtags, trending TikTok audios, and seasonal memes to drive engagement. Which trends fit best, and how should we execute?
Trending,Full Context,Our wellness brand is planning an Earth Day campaign. We want to use trending sustainability topics, visual styles, and user-generated content. Which trends should we focus on, and what’s the best way to encourage participation?
Trending,Full Context,We’re a SaaS company attending a major tech conference. We want to create buzz on Twitter using trending event hashtags and memes. Which ones should we use, and how do we stand out from competitors?
Trending,Full Context,We’re a B2B HR software provider. We want to use current LinkedIn post formats and viral business memes to increase engagement. What’s trending, and how can we adapt it to our brand voice?
Trending,Full Context,We’re a fitness brand launching a new product line. We want to tap into the latest Instagram Reels challenges and fitness memes. Which trends should we leverage, and how can we make our content stand out?
Trending,Full Context,We’re a travel agency launching a campaign for spring break. We want to use trending travel hashtags, viral TikTok sounds, and Instagram carousel formats. Which trends are most effective for our audience?
Trending,Full Context,We’re a non-profit running a Giving Tuesday campaign. We want to use trending donation challenges and visual storytelling techniques. Which trends should we follow, and how do we maximize shareability?
Trending,Full Context,We’re a B2B SaaS startup launching a new product at a major industry event. We want to use trending event hashtags, live tweet threads, and influencer collaborations. Which trends should we include, and how do we drive booth traffic?
Trending,Full Context,We’re a DTC beauty brand launching a summer campaign. We want to use trending Instagram Reels audio, meme formats, and seasonal hashtags. What’s hot and how should we use it?
Trending,Full Context,Our B2B agency is planning a LinkedIn Live series. We want to align with trending topics and formats. What should we focus on for maximum reach?
Trending,Full Context,We’re a restaurant chain with a new vegan menu. We want to use trending food photography styles and TikTok recipe challenges. What’s popular, and how do we get noticed?
Trending,Full Context,Our SaaS company is launching a cybersecurity tool. We want to tap into trending topics on Twitter and LinkedIn. What’s viral in the cybersecurity space, and how do we join the conversation?
Trending,Full Context,We’re a retail brand planning Black Friday. We want to use trending countdown timers, “shop with me” videos, and influencer unboxings. What’s working this year?
Trending,Full Context,We’re a B2B consultancy launching a new research report. We want to use trending LinkedIn carousel posts, infographics, and expert Q&A threads. What’s resonating with B2B audiences now?
Trending,Full Context,We’re a pet care startup launching a subscription box. We want to use trending unboxing videos, pet memes, and Instagram Reels challenges. What’s hot and how do we stand out?
Trending,Full Context,We’re a travel agency launching a “work from anywhere” campaign. We want to use trending digital nomad hashtags, remote work memes, and TikTok travel tips. What’s effective?
Trending,Full Context,We’re a B2B fintech company attending a finance summit. We want to use trending Twitter threads, LinkedIn polls, and live video. What’s trending in finance event marketing?
Caption Generation,Without Context,Write a catchy caption for a product launch.
Caption Generation,Without Context,Give a fun caption for an Instagram Story.
Caption Generation,Without Context,Create a short caption for a Facebook ad.
Caption Generation,Without Context,Write a bold caption for a sale banner.
Caption Generation,Without Context,Make a playful caption for a TikTok video.
Caption Generation,Without Context,Give a witty caption for a new blog post.
Caption Generation,Without Context,Write a caption for a behind-the-scenes photo.
Caption Generation,Without Context,Create a caption for a customer testimonial post.
Caption Generation,Without Context,Write a caption for a holiday promotion.
Caption Generation,Without Context,Give a motivational caption for a Monday post.
Caption Generation,Without Context,Write a caption for a flash sale announcement.
Caption Generation,Without Context,Create a caption for a product restock post.
Caption Generation,Without Context,Write a caption for a referral program invite.
Caption Generation,Without Context,Give a humorous caption for a team photo.
Caption Generation,Without Context,Write a caption for a thank-you post to customers.
Caption Generation,Without Context,Create a caption for a “new in store” post.
Caption Generation,Without Context,Write a caption for a milestone celebration.
Caption Generation,Without Context,Give a caption for a sneak peek teaser.
Caption Generation,Without Context,Create a caption for a customer appreciation post.
Caption Generation,Without Context,Write a caption for a “back in stock” alert.
Caption Generation,Without Context,Give a caption for a community event post.
Caption Generation,Without Context,Write a caption for a “limited edition” release.
Caption Generation,Without Context,Create a caption for a user-generated content post.
Caption Generation,Without Context,Write a caption for a “meet the team” feature.
Caption Generation,Without Context,Give a caption for a product demo video.
Caption Generation,Without Context,Write a caption for a weekend sale.
Caption Generation,Without Context,Create a caption for a countdown post.
Caption Generation,Without Context,Write a caption for a customer review highlight.
Caption Generation,Without Context,Give a caption for a “how it’s made” video.
Caption Generation,Light Context,We’re launching a vegan snack. Write a fun Instagram caption.
Caption Generation,Light Context,Our SaaS tool just got a big update. Create a LinkedIn caption.
Caption Generation,Light Context,We’re hosting a summer sale. Give us a catchy Facebook ad caption.
Caption Generation,Light Context,Our coffee shop is reopening. Write a welcoming caption for Instagram.
Caption Generation,Light Context,We want to promote our new eco-friendly packaging. Suggest a caption for Twitter.
Caption Generation,Light Context,We’re announcing a flash sale for our online store. Write a bold banner caption.
Caption Generation,Light Context,Our client shared a five-star review. Write a caption for a testimonial post.
Caption Generation,Light Context,We’re running a fitness challenge. Suggest a motivating caption.
Caption Generation,Light Context,We’re launching a new podcast episode. Write a teaser caption.
Caption Generation,Light Context,Our team is volunteering at a local charity. Give us a heartwarming caption for LinkedIn.
Caption Generation,Light Context,We’re opening a new store downtown. Write a caption for the grand opening post.
Caption Generation,Light Context,Our restaurant is launching a brunch menu. Suggest a playful Instagram caption.
Caption Generation,Light Context,We’re releasing a limited-edition sneaker. Write a hype caption for Facebook.
Caption Generation,Light Context,Our pet store is having an adoption event. Write a caption to encourage visits.
Caption Generation,Light Context,We’re celebrating our 5th anniversary. Write a thank-you caption for customers.
Caption Generation,Light Context,Our B2B software just won an award. Suggest a LinkedIn post caption.
Caption Generation,Light Context,We’re launching a referral program. Write a caption to invite sign-ups.
Caption Generation,Light Context,Our new product is now available online. Write a “shop now” caption.
Caption Generation,Light Context,We’re hosting a webinar next week. Write a sign-up caption.
Caption Generation,Light Context,Our team just completed a big project. Write a celebration caption.
Caption Generation,Light Context,We’re offering free shipping this weekend. Write a promo caption.
Caption Generation,Light Context,Our coffee shop is launching a new blend. Write a tasting note caption.
Caption Generation,Light Context,We’re highlighting a customer story. Write a heartfelt caption.
Caption Generation,Light Context,Our SaaS platform has a new feature. Write a launch caption for LinkedIn.
Caption Generation,Light Context,We’re running a “tag a friend” contest. Write a caption for Instagram.
Caption Generation,Light Context,Our store is reopening after renovations. Write a welcome back caption.
Caption Generation,Light Context,We’re celebrating hitting 10k followers. Write a gratitude caption.
Caption Generation,Light Context,Our team is at a trade show. Write a booth visit caption.
Caption Generation,Light Context,We’re launching a new app. Write a “download now” caption.
Caption Generation,Full Context,We’re a B2B software company rolling out a new integration with a popular CRM. We want a LinkedIn caption that’s professional but approachable, highlights the integration’s benefits, and encourages clicks to learn more.
Caption Generation,Full Context,We’re a boutique hotel reopening after renovations. Write a playful Instagram caption that emphasizes our new amenities, cozy atmosphere, and invites followers to book a stay.
Caption Generation,Full Context,We’re running a limited-time “Buy One, Give One” campaign for our eco-friendly water bottles. Create a Facebook ad caption that’s energetic, explains the offer, and encourages sharing.
Caption Generation,Full Context,We’re a pet food brand launching a new grain-free formula. Write a TikTok caption that’s funny, appeals to pet owners, and prompts them to comment with their pet’s name.
Caption Generation,Full Context,We’re a law firm celebrating our 20th anniversary. Write a dignified LinkedIn caption that thanks clients, highlights our achievements, and invites comments from past clients.
Caption Generation,Full Context,We’re a travel agency announcing a flash sale on Caribbean cruises. Write a bold, urgent Instagram caption that uses emojis and prompts followers to tag a friend.
Caption Generation,Full Context,We’re a SaaS startup releasing a major security update. Write a reassuring, concise caption for an email banner that builds trust and encourages users to read more.
Caption Generation,Full Context,We’re a fashion brand collaborating with a local artist on a limited collection. Write a creative, artsy caption for a launch post that tags the artist.
Caption Generation,Full Context,We’re a fitness studio hosting a “Bring a Friend Free” week. Write a fun, energetic caption for a Facebook event page.
Caption Generation,Full Context,We’re a non-profit running a Giving Tuesday campaign. Write an inspiring Twitter caption that encourages donations and sharing.
Caption Generation,Full Context,We’re a B2B SaaS company launching a new analytics dashboard. Write a LinkedIn caption that highlights key features and invites demo signups.
Caption Generation,Full Context,We’re a local bakery launching a gluten-free line. Write a warm, inviting Instagram caption for the announcement.
Caption Generation,Full Context,We’re a coffee shop celebrating International Coffee Day. Write a playful caption for a giveaway post.
Caption Generation,Full Context,We’re a pet adoption center highlighting a senior dog. Write a heartfelt caption for Facebook.
Caption Generation,Full Context,We’re a tech startup hosting a virtual hackathon. Write an energetic caption for a LinkedIn event invite.
Caption Generation,Full Context,We’re a restaurant launching a new brunch menu. Write a fun, mouthwatering Instagram caption.
Caption Generation,Full Context,We’re an e-commerce brand celebrating our first year. Write a gratitude-filled caption for a milestone post.
Caption Generation,Full Context,We’re a fashion retailer collaborating with a local artist. Write a creative caption for the launch event.
Caption Generation,Full Context,We’re a SaaS startup celebrating 1,000 customers. Write a LinkedIn caption thanking users and inviting feedback.
Caption Generation,Full Context,We’re a fitness app launching a new challenge. Write a motivating caption for Instagram Stories.
Caption Generation,Full Context,We’re an e-commerce brand launching a holiday gift guide. Write a playful caption for a carousel post.
Caption Generation,Full Context,We’re a B2B agency launching a thought leadership series. Write a LinkedIn caption inviting followers to join.
Caption Generation,Full Context,We’re a children’s bookstore hosting a storytime event. Write a magical caption for Facebook.
Caption Generation,Full Context,We’re a local gym reopening post-renovation. Write a welcoming, energetic caption for Instagram.
Caption Generation,Full Context,We’re a SaaS company introducing a referral program. Write a concise, engaging caption for an email banner.
Caption Generation,Full Context,We’re a travel agency launching a “mystery trip” offer. Write an adventurous caption for Instagram.
Caption Generation,Full Context,We’re a fashion brand launching a Pride Month collection. Write an inclusive, celebratory caption.
Caption Generation,Full Context,We’re a non-profit highlighting a volunteer story. Write a heartfelt caption for LinkedIn.
Caption Generation,Full Context,We’re a B2B company launching a new whitepaper. Write a professional, curiosity-driving LinkedIn caption.
General,Without Context,Give me marketing ideas.
General,Without Context,What’s a good campaign for a new product?
General,Without Context,Suggest ways to increase brand awareness.
General,Without Context,How can I get more followers on Instagram?
General,Without Context,What are some creative email subject lines?
General,Without Context,Give me tips for boosting website traffic.
General,Without Context,What’s a fun way to engage customers offline?
General,Without Context,How can I improve my ad copy?
General,Without Context,Give me ideas for a referral program.
General,Without Context,What’s a unique way to launch a product?
General,Without Context,How can I get more reviews from customers?
General,Without Context,What are some effective B2B marketing tactics?
General,Without Context,Give me ideas for a loyalty program.
General,Without Context,How can I make my brand stand out?
General,Without Context,What’s a creative way to announce a sale?
General,Without Context,How can I increase webinar attendance?
General,Without Context,What are some good holiday marketing ideas?
General,Without Context,How can I use memes in my marketing?
General,Without Context,What’s a good way to collect user-generated content?
General,Without Context,How can I boost my email open rates?
General,Without Context,What are some fun contest ideas?
General,Without Context,How can I get more engagement on Facebook?
General,Without Context,What are some unique event marketing ideas?
General,Without Context,How can I improve my SEO?
General,Without Context,What’s a good way to launch a podcast?
General,Without Context,How can I make my ads more memorable?
General,Without Context,What’s a creative way to use influencers?
General,Without Context,How can I use video to promote my brand?
General,Without Context,What are some good PR stunts?
General,Without Context,How can I make my brand go viral?
General,Light Context,We’re a local bakery with a small budget. Suggest ways to promote our new cupcakes.
General,Light Context,Our SaaS startup wants to get more leads. What are some creative tactics?
General,Light Context,We’re launching a new podcast. How can we grow our audience?
General,Light Context,Our e-commerce store has low repeat purchases. Suggest retention strategies.
General,Light Context,We want to run a holiday-themed campaign. Give us some ideas.
General,Light Context,We’re a B2B agency looking to stand out on LinkedIn. What can we try?
General,Light Context,Our restaurant wants more reviews online. Suggest ways to encourage customers.
General,Light Context,We’re hosting a webinar next month. How can we maximize attendance?
General,Light Context,We want to increase engagement on our Instagram Stories. Any tips?
General,Light Context,We’re a new brand entering the pet care market. Give us launch ideas.
General,Light Context,Our travel agency wants to attract more solo travelers. Any marketing tips?
General,Light Context,We’re a SaaS company with a new feature. How should we announce it?
General,Light Context,Our fitness studio is reopening. What’s a creative way to spread the word?
General,Light Context,We’re running a referral contest. How can we make it go viral?
General,Light Context,Our nonprofit wants to raise awareness for a cause. Any ideas?
General,Light Context,We’re launching a product for Gen Z. How can we make our campaign stand out?
General,Light Context,Our B2B firm wants to generate more case studies. Any suggestions?
General,Light Context,We’re a coffee shop with slow afternoons. How can we boost sales?
General,Light Context,Our agency wants to try guerrilla marketing. What’s a good idea?
General,Light Context,We’re a SaaS startup with a small team. How can we build brand authority?
General,Light Context,We’re planning a pop-up event. What’s a unique way to promote it?
General,Light Context,Our e-commerce brand wants to use more video. Any creative formats?
General,Light Context,We’re a law firm launching a new service. How should we market it?
General,Light Context,Our fashion brand wants to use TikTok. What’s a good first campaign?
General,Light Context,We’re a gym with a new class. How can we fill spots quickly?
General,Light Context,Our SaaS tool is launching a free trial. How can we drive signups?
General,Light Context,We’re a local business with limited ad budget. What’s the best use?
General,Light Context,Our pet store wants to build a community. Any ideas?
General,Light Context,We’re launching a summer collection. What’s a fun campaign idea?
General,Light Context,We’re a B2B startup with no case studies. How can we build credibility?
General,Full Context,We’re a mid-sized B2B software company with a limited marketing budget, launching a new workflow automation tool. We want to increase demo signups over the next quarter. Suggest a mix of inbound and outbound tactics, including digital and offline channels, with brief explanations for each.
General,Full Context,We’re a regional grocery chain competing with national brands. We want to increase loyalty among millennial shoppers. Suggest creative, low-cost marketing initiatives that fit our brand values and community focus.
General,Full Context,We’re a fitness app targeting busy professionals. Our user base is mostly women aged 30-45. Suggest campaign ideas for New Year’s resolutions that use email, social, and in-app messaging.
General,Full Context,We’re a travel agency specializing in adventure tours. We want to attract more solo travelers aged 25-40. Suggest marketing ideas for Instagram, TikTok, and our blog.
General,Full Context,We’re a SaaS startup with a small team. We want to increase brand awareness in the HR tech space. Suggest a mix of content, PR, and event tactics, with reasons for each.
General,Full Context,We’re a local restaurant with a loyal lunch crowd but slow dinner sales. Suggest ideas to boost dinner traffic, using both digital and in-person marketing.
General,Full Context,We’re an e-commerce brand with a new subscription box for pet owners. Suggest launch ideas that use influencer partnerships, email, and offline events.
General,Full Context,We’re a non-profit focusing on youth education. We want to increase donations during back-to-school season. Suggest campaign ideas across social, email, and local PR.
General,Full Context,We’re a B2B consulting firm launching a new service. We want to reach decision-makers at mid-sized companies. Suggest outreach and content ideas.
General,Full Context,We’re a fashion retailer opening a new flagship store in a major city. Suggest launch event ideas, influencer collaborations, and post-launch follow-up tactics.
General,Full Context,We’re a SaaS company with a niche product for accountants. We want to increase awareness and drive trial signups. Suggest creative tactics across paid, owned, and earned channels.
General,Full Context,We’re a local gym with a new personal training program. Suggest ways to attract signups using social, email, and partnerships.
General,Full Context,We’re a B2B SaaS startup with a limited content library. Suggest a plan to build authority quickly.
General,Full Context,We’re a pet food brand launching in a new region. Suggest integrated marketing ideas for awareness and trial.
General,Full Context,We’re a DTC skincare brand with a small budget. Suggest creative ways to leverage user-generated content and micro-influencers.
General,Full Context,We’re a law firm launching a new website. Suggest ways to drive traffic and generate leads.
General,Full Context,We’re a travel agency specializing in group tours. Suggest campaign ideas for Facebook, Instagram, and local events.
General,Full Context,We’re a B2B fintech company launching a whitepaper. Suggest tactics for generating downloads and qualified leads.
General,Full Context,We’re a children’s bookstore with a new loyalty program. Suggest ways to drive signups and repeat visits.
General,Full Context,We’re a SaaS tool for marketers with a new reporting feature. Suggest announcement and adoption strategies.
General,Full Context,We’re a restaurant chain launching a plant-based menu. Suggest campaign ideas for social, email, and in-store.
General,Full Context,We’re a B2B agency with a new podcast. Suggest ways to grow listenership and drive leads.
General,Full Context,We’re a non-profit with a Giving Tuesday campaign. Suggest engaging content ideas for email and social.
